feature,mean_abs_shap
roll_bps,6.236789364925617
amihud_21d,5.175986529231007
trade_count_30d,3.0869626394120724
kyle_lambda_abs,2.389746712092711
log_amihud_21d,1.4401181591604548
volume_30d,0.7399001155624113
roll_spread_bps_21d,0.39071833593084726
rating_ordinal,0.2843494840398708
price_impact_30d,0.2500080990086614
tsy_10y,0.19260776645516595
outstanding_mm,0.12936950950102297
is_investment_grade,0.10571133615978465
trade_count_std_30d,0.08463175045374682
cdx_ig_bps,0.08380213001079198
ttm_years,0.08228488410545767
hyg_volume_mm,0.07956619427408691
lqd_volume_mm,0.07481283468167135
vix,0.07152429404625092
zero_trade_days_30d,0.06450060789725859
cdx_hy_bps,0.034181290263397855
median_iti_hours_21d,0.03029868365968817
n_trades,0.02859517636320267
amihud_ratio,0.012093180906194398
total_volume_mm,0.011022425560477167
coupon,0.009929325040920348
age_years,0.009282493846855798
pct_buy,0.008761682405330653
avg_trade_size_mm,0.007563789441585469
pct_sell,0.006380099952787423
median_trade_size_mm,0.004762401900937164
median_iti_hours,0.00459663773977904
iti_cv,0.004562623357188499
pct_institutional,0.0042042084593351325
max_iti_hours,0.003035377869935838
sector_Technology,0.0025014688258621024
sector_Healthcare,0.0017708412603329635
sector_Industrial,0.001035735048928472
sector_Financial,0.0009858994524281663
sector_Telecom,0.0007764909105436535
sector_Consumer,0.0006604593514418224
sector_Energy,0.0006579652695124966
sector_Utility,0.0005307436841761224
